Response ID,Include/Exclude,Date submitted,Last page,Start language,Date started,Date last action,What is your primary specialty-,What is your primary specialty- [Other],What is your rank-,What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.),What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.) [Other],How would you describe your current billet-,How would you describe your current billet- [Other],"For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS-","For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS- [Other]","On a scale of 1 to 5, with 1 being not transparent and 5 being very transparent, how would you rate the transparency of your detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 being unsatisfied and 5 being very satisfied, how would you rate your overall detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 representing a significant problem and 5 being not a problem at all, how would you rank the problem of favoritism in the billet assignment process-",Describe your current assignment:,"Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 1]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 2]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 3]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 4]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 5]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 6]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 7]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 8]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 9]",Which career path do you want to pursue in the next 5-10  years-,Which career path do you want to pursue in the next 5-10  years- [Other],"Neither the Army nor the Air Force have physicians in the detailer role.  Instead, they have nurses or medical administrators work with specialty leaders to determine assigments.  This is different from the current Navy Medical Corps billet assignment process where the detailer is a physician*.  Would you approve if the detailer position was filled by a non-physician-",How long should an individual be allowed to remain at one command-,"Do you think that there is a problem in the Medical Corps with members not moving-  That is, are there too many physicians who get to stay in one place too long-","Civilian medical residency positions are assigned using the National Residency Match Program where members submit a preference list, residency directors submit a preference list, and a computer algorithm optimizes a match.  This is different from the current Navy Medical Corps billet assignment process where the detailer and specialty leader take input from medical officers and then make a decision.  Of these two options, which would you prefer for your military billet assignment-","The later the match day, the more information one has before creating their rank list.  The earlier the match day, the sooner one can have certainty and prepare.  Assuming your were scheduled to execute new orders in July of 2017, what month would you want the match to occur in-",Do you think members who are coming from operational or OCONUS assignments should be given preference in billet assignment-,Do you think members with more seniority (as defined by time in service or rank) should be given preference in billet assignment-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,I,8/20/16 10:47,4,en,8/20/16 10:40,8/20/16 10:47,Aviation Medicine (Flight Surgery GMO),,LT,2015,,CONUS Operational,,< 1 month,,4,3,3,1st choice,Pacific Northwest,Europe,Northeast,National Capital Region,Southern California,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Academic Medicine,,Do not care,4 tours (~12 years),No,Something similar to the National Residency Match Program,Aug-16,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,I,8/20/16 10:49,4,en,8/20/16 10:43,8/20/16 10:49,Pathology,,CDR,2015,,OCONUS MTF,,2-4 months,,2,3,3,1st choice,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Pacific Northwest,Northeast,,,,,Mixed,,No,4 tours (~12 years),Other,Something similar to the National Residency Match Program,Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,I,8/20/16 10:51,4,en,8/20/16 10:46,8/20/16 10:51,Emergency Medicine,,LCDR,2015,,GME,,2-4 months,,4,4,1,2nd choice,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Southern California,Northeast,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",National Capital Region,Operational Medicine,,No,1 tour (~3 years),Yes,Other,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,I,8/20/16 10:52,4,en,8/20/16 10:47,8/20/16 10:52,Family Medicine,,LCDR,2014,,CONUS Operational,,> 4 months,,4,5,4,1st choice,Europe,Northeast,Southern California,National Capital Region,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Executive Medicine,,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Oct-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,I,8/20/16 13:17,4,en,8/20/16 13:01,8/20/16 13:17,Aviation Medicine (Flight Surgery GMO),,LCDR,2014,,Non-Operational/Non-Clinical,,< 1 month,,2,1,,> 4th choice,"Pacific (Hawaii, Guam, Japan)",Southern California,Pacific Northwest,Europe,"Southeast (North Carolina, Florida)",,,,,Operational Medicine,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,I,8/20/16 11:08,4,en,8/20/16 11:00,8/20/16 11:08,Family Medicine,,LCDR,2014,,CONUS MTF,,2-4 months,,4,4,,1st choice,"Southeast (North Carolina, Florida)",,,,,,,,,Mixed,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,I,8/20/16 12:32,4,en,8/20/16 12:26,8/20/16 12:32,Family Medicine,,CDR,,,CONUS MTF,,> 4 months,,5,5,5,Other,Southern California,Pacific Northwest,Europe,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Mixed,,Yes,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,I,,1,en,8/20/16 11:06,8/20/16 11:07,Pediatrics,,LT,2016,,CONUS MTF,,< 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,I,8/20/16 11:16,4,en,8/20/16 11:09,8/20/16 11:16,Pediatrics,,LCDR,2013,,CONUS MTF,,2-4 months,,4,5,5,1st choice,Southern California,Europe,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,National Capital Region,Northeast,"Southeast (North Carolina, Florida)",Middle East or Africa,Executive Medicine,,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,I,8/20/16 11:17,4,en,8/20/16 11:12,8/20/16 11:17,Anesthesiology,,LT,2016,,GME,,2-4 months,,1,3,2,2nd choice,Southern California,Pacific Northwest,Northeast,National Capital Region,"Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",,,,Mixed,,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,I,8/21/16 7:57,4,en,8/21/16 7:51,8/21/16 7:57,Family Medicine,,LCDR,,,OCONUS MTF,,2-4 months,,3,3,2,2nd choice,,,,,,,,,,Resign/Retire,,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,I,8/22/16 19:17,4,en,8/22/16 19:12,8/22/16 19:17,Emergency Medicine,,LT,,,GME,,2-4 months,,2,3,4,1st choice,Southern California,Pacific Northwest,Northeast,"Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Europe,Middle East or Africa,Mixed,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,I,8/23/16 13:58,4,en,8/23/16 13:54,8/23/16 13:58,Dermatology,,LCDR,,,CONUS MTF,,< 1 month,,5,5,1,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Southern California,National Capital Region,"Pacific (Hawaii, Guam, Japan)",Europe,Pacific Northwest,"Southeast (North Carolina, Florida)",Northeast,Middle East or Africa,Clinical Medicine,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,I,8/20/16 11:38,4,en,8/20/16 11:28,8/20/16 11:38,Emergency Medicine,,LCDR,2015,,CONUS MTF,,> 4 months,,5,3,5,2nd choice,Southern California,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Europe,"Southeast (North Carolina, Florida)",Northeast,Pacific Northwest,Middle East or Africa,Academic Medicine,,Yes,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jul-16,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,I,8/20/16 11:39,4,en,8/20/16 11:31,8/20/16 11:39,Anesthesiology,,LCDR,2016,,CONUS MTF,,2-4 months,,1,1,1,> 4th choice,Europe,Southern California,Pacific Northwest,,,,,,,Clinical Medicine,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Dec-16,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,I,,3,en,8/20/16 11:42,8/20/16 12:21,Ophthalmology,,LT,2015,,CONUS MTF,,2-4 months,,2,3,4,3rd choice,"Southeast (North Carolina, Florida)",Southern California,National Capital Region,Pacific Northwest,,,,,,Mixed,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,I,8/20/16 11:53,4,en,8/20/16 11:47,8/20/16 11:53,Internal Medicine (General),,CDR,2015,,GME,,> 4 months,,4,5,3,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",National Capital Region,"Southeast (North Carolina, Florida)",Southern California,Pacific Northwest,Northeast,Europe,Middle East or Africa,Operational Medicine,,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,I,8/20/16 11:57,4,en,8/20/16 11:47,8/20/16 11:57,Emergency Medicine,,LCDR,2015,,OCONUS MTF,,2-4 months,,5,1,1,Other,"Pacific (Hawaii, Guam, Japan)",Europe,"Southeast (North Carolina, Florida)",Southern California,Pacific Northwest,Middle East or Africa,National Capital Region,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Clinical Medicine,,Yes,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Other,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,I,8/20/16 22:36,4,en,8/20/16 12:01,8/20/16 22:36,Otolaryngology,,LCDR,2016,,CONUS MTF,,2-4 months,,2,2,1,3rd choice,Southern California,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",,,,,,,Clinical Medicine,,,,Yes,Other,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,I,8/26/16 10:24,4,en,8/26/16 10:14,8/26/16 10:24,Family Medicine,,,,,CONUS MTF,,2-4 months,,3,3,4,Other,Europe,Northeast,Pacific Northwest,Southern California,National Capital Region,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Academic Medicine,,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,I,8/20/16 12:10,4,en,8/20/16 12:03,8/20/16 12:10,Emergency Medicine,,LCDR,2015,,CONUS MTF,,2-4 months,,5,5,,1st choice,Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Europe,Middle East or Africa,Executive Medicine,,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,I,8/20/16 12:15,4,en,8/20/16 12:04,8/20/16 12:15,Family Medicine,,CDR,2014,,GME,,2-4 months,,2,2,1,1st choice,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Europe,Middle East or Africa,"Pacific (Hawaii, Guam, Japan)",Northeast,Southern California,Pacific Northwest,Executive Medicine,,No,2 tours (~6 years),Other,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,I,,1,en,8/20/16 14:47,8/20/16 14:48,Aviation Medicine (Flight Surgery GMO),,LT,2016,,CONUS Operational,,< 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,I,8/29/16 17:35,4,en,8/29/16 17:28,8/29/16 17:35,Occupational Medicine,,LCDR,,,OCONUS MTF,,> 4 months,,1,1,1,> 4th choice,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Northeast,Southern California,Pacific Northwest,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Executive Medicine,,Do not care,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,I,8/20/16 12:36,4,en,8/20/16 12:31,8/20/16 12:36,Family Medicine,,CDR,2014,,Non-Operational/Non-Clinical,,< 1 month,,1,1,1,1st choice,National Capital Region,"Southeast (North Carolina, Florida)",Northeast,Europe,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,"Tidewater Region (Portsmouth, Norfolk)",Southern California,Executive Medicine,,Yes,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,I,8/20/16 12:43,4,en,8/20/16 12:32,8/20/16 12:43,Family Medicine,,LCDR,2015,,OCONUS Operational,,< 1 month,,2,3,,1st choice,Europe,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Northeast,Middle East or Africa,Southern California,Pacific Northwest,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Undecided,,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,I,8/20/16 12:37,4,en,8/20/16 12:33,8/20/16 12:37,Emergency Medicine,,CAPT or Flag,2015,,OCONUS MTF,,2-4 months,,5,5,4,1st choice,Southern California,Pacific Northwest,Europe,"Southeast (North Carolina, Florida)",Northeast,National Capital Region,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Academic Medicine,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,I,8/20/16 18:57,4,en,8/20/16 18:48,8/20/16 18:57,Aviation Medicine (Flight Surgery GMO),,LT,2014,,CONUS Operational,,< 1 month,,2,1,,> 4th choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",National Capital Region,Southern California,Northeast,Pacific Northwest,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Clinical Medicine,,Do not care,2 tours (~6 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,I,8/20/16 13:15,4,en,8/20/16 12:49,8/20/16 13:15,Ophthalmology,,LCDR,2015,,CONUS MTF,,> 4 months,,5,5,5,Other,Southern California,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,,,,,,,Academic Medicine,,Other,Other,No,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,I,8/20/16 12:59,4,en,8/20/16 12:50,8/20/16 12:59,Internal Medicine (General),,LT,2016,,CONUS MTF,,2-4 months,,4,5,4,3rd choice,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Southern California,"Southeast (North Carolina, Florida)",Northeast,Europe,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Middle East or Africa,Academic Medicine,,Do not care,4 tours (~12 years),No,Something similar to the National Residency Match Program,Mar-17,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,I,8/20/16 13:00,4,en,8/20/16 12:55,8/20/16 13:00,Anesthesiology,,CDR,2014,,CONUS MTF,,Other,Stayed in same location,5,4,3,1st choice,Southern California,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",National Capital Region,Pacific Northwest,Northeast,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Clinical Medicine,,Do not care,Other,No,Something similar to the National Residency Match Program,Sep-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,I,8/21/16 8:47,4,en,8/21/16 8:39,8/21/16 8:47,Aviation Medicine (Flight Surgery GMO),,LT,2016,,CONUS Operational,,< 1 month,,1,1,2,> 4th choice,Southern California,Europe,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Northeast,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Clinical Medicine,,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,I,8/20/16 13:18,4,en,8/20/16 13:02,8/20/16 13:18,Aerospace Medicine (Residency Trained Flight),,CAPT or Flag,2015,,CONUS Operational,,< 1 month,,2,1,2,Other,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,National Capital Region,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Southeast (North Carolina, Florida)",Middle East or Africa,Executive Medicine,,Other,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
