response_id,primary_specialty,officer_rank,year_executed_order,billet_current,order_lag_in_months,transparency_rank,satistfaction_rank,favoritism_rank,assignment_current,geographic_preference,career_path,doctor_as_detailer,homestead_length_in_years,homestead_problem,match_desirability,match_month,assignment_preference,officer_rank_preference
30,Family Medicine,LCDR,2014,CONUS MTF,2-4 months,4,4,NA,1st choice,"Southeast (North Carolina, Florida)",Mixed,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
49,Family Medicine,CDR,NA,CONUS MTF,> 4 months,5,5,5,Other,Southern California,Mixed,Yes,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
32,Pediatrics,LT,2016,CONUS MTF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Pediatrics,LCDR,2013,CONUS MTF,2-4 months,4,5,5,1st choice,Southern California,Executive Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
35,Anesthesiology,LT,2016,GME,2-4 months,1,3,2,2nd choice,Southern California,Mixed,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
100,Family Medicine,LCDR,NA,OCONUS MTF,2-4 months,3,3,2,2nd choice,NA,Resign/Retire,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No
153,Emergency Medicine,LT,NA,GME,2-4 months,2,3,4,1st choice,Southern California,Mixed,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No
277,Dermatology,LCDR,NA,CONUS MTF,NA,5,5,1,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Clinical Medicine,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,NA,NA
39,Emergency Medicine,LCDR,2015,CONUS MTF,> 4 months,5,3,5,2nd choice,Southern California,Academic Medicine,Yes,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jul-16,No,No
40,Anesthesiology,LCDR,2016,CONUS MTF,2-4 months,1,1,1,> 4th choice,Europe,Clinical Medicine,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Dec-16,No,No
41,Ophthalmology,LT,2015,CONUS MTF,2-4 months,2,3,4,3rd choice,"Southeast (North Carolina, Florida)",Mixed,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No
42,Internal Medicine (General),CDR,2015,GME,> 4 months,4,5,3,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Operational Medicine,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
43,Emergency Medicine,LCDR,2015,OCONUS MTF,2-4 months,5,1,1,Other,"Pacific (Hawaii, Guam, Japan)",Clinical Medicine,Yes,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Other,Yes,No
44,Otolaryngology,LCDR,2016,CONUS MTF,2-4 months,2,2,1,3rd choice,Southern California,Clinical Medicine,NA,NA,Yes,Other,Jan-17,Yes,No
560,Family Medicine,NA,NA,CONUS MTF,2-4 months,3,3,4,Other,Europe,Academic Medicine,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,No
46,Emergency Medicine,LCDR,2015,CONUS MTF,2-4 months,5,5,NA,1st choice,Northeast,Executive Medicine,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,No
47,Family Medicine,CDR,2014,GME,2-4 months,2,2,1,1st choice,National Capital Region,Executive Medicine,No,2 tours (~6 years),Other,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
66,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,Occupational Medicine,LCDR,NA,OCONUS MTF,> 4 months,1,1,1,> 4th choice,National Capital Region,Executive Medicine,Do not care,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
50,Family Medicine,CDR,2014,Non-Operational/Non-Clinical,NA,1,1,1,1st choice,National Capital Region,Executive Medicine,Yes,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No
51,Family Medicine,LCDR,2015,OCONUS Operational,NA,2,3,NA,1st choice,Europe,Undecided,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
52,Emergency Medicine,CAPT or Flag,2015,OCONUS MTF,2-4 months,5,5,4,1st choice,Southern California,Academic Medicine,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,Yes,Yes
79,Aviation Medicine (Flight Surgery GMO),LT,2014,CONUS Operational,NA,2,1,NA,> 4th choice,"Tidewater Region (Portsmouth, Norfolk)",Clinical Medicine,Do not care,2 tours (~6 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
54,Ophthalmology,LCDR,2015,CONUS MTF,> 4 months,5,5,5,Other,Southern California,Academic Medicine,Other,Other,No,Other,Other,NA,NA
55,Internal Medicine (General),LT,2016,CONUS MTF,2-4 months,4,5,4,3rd choice,National Capital Region,Academic Medicine,Do not care,4 tours (~12 years),No,Something similar to the National Residency Match Program,Mar-17,No,No
56,Anesthesiology,CDR,2014,CONUS MTF,NA,5,4,3,1st choice,Southern California,Clinical Medicine,Do not care,Other,No,Something similar to the National Residency Match Program,Sep-16,Yes,Yes
101,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,NA,1,1,2,> 4th choice,Southern California,Clinical Medicine,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,No
58,Aerospace Medicine (Residency Trained Flight),CAPT or Flag,2015,CONUS Operational,NA,2,1,2,Other,Europe,Executive Medicine,Other,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No
59,Anesthesiology,LCDR,2016,GME,NA,4,4,2,2nd choice,Europe,Executive Medicine,Do not care,Other,No,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes
107,Aviation Medicine (Flight Surgery GMO),LCDR,2015,CONUS Operational,NA,1,1,NA,Other,Europe,Operational Medicine,Other,Other,Other,Other,Jan-17,Yes,Yes
61,Preventive Medicine,LCDR,2015,Non-Operational/Non-Clinical,NA,3,1,1,> 4th choice,Southern California,Operational Medicine,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
62,Preventive Medicine,LCDR,2015,CONUS Operational,> 4 months,5,5,3,1st choice,"Pacific (Hawaii, Guam, Japan)",Mixed,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
63,Emergency Medicine,CDR,2012,CONUS MTF,> 4 months,5,5,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Clinical Medicine,No,4 tours (~12 years),Other,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
887,NA,NA,NA,NA,NA,2,2,3,NA,"Southeast (North Carolina, Florida)",Operational Medicine,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Feb-17,Yes,No
65,Family Medicine,LT,2016,CONUS Operational,NA,1,2,2,> 4th choice,"Southeast (North Carolina, Florida)",Undecided,Yes,3 tours (~9 years),Yes,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
148,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,NA,1,2,4,1st choice,Southern California,Undecided,Yes,3 tours (~9 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
157,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,NA,1,1,1,> 4th choice,NA,Clinical Medicine,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,Yes,Yes
68,Aerospace Medicine (Residency Trained Flight),CDR,2015,GME,> 4 months,5,5,1,1st choice,"Southeast (North Carolina, Florida)",Resign/Retire,Yes,4 tours (~12 years),No,Something similar to the National Residency Match Program,Jul-16,Yes,Yes
226,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS MTF,2-4 months,1,1,1,Other,"Southeast (North Carolina, Florida)",Clinical Medicine,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,No,NA
70,Emergency Medicine,CDR,2015,CONUS Operational,2-4 months,1,1,1,4th choice,Europe,Executive Medicine,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Mar-17,No,Yes
71,OB/GYN,LCDR,2014,CONUS MTF,> 4 months,4,3,3,4th choice,"Southeast (North Carolina, Florida)",Mixed,Other,2 tours (~6 years),Yes,Other,Feb-17,Yes,Yes
72,Pathology,CDR,2016,CONUS MTF,> 4 months,5,5,2,1st choice,Southern California,Mixed,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
246,Aviation Medicine (Flight Surgery GMO),LT,2015,CONUS Operational,2-4 months,3,2,2,4th choice,Southern California,Clinical Medicine,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No
1005,Emergency Medicine,LT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Family Medicine,LCDR,2015,OCONUS MTF,NA,2,1,3,Other,National Capital Region,Mixed,Yes,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes
1028,Other,LT,NA,NA,NA,NA,NA,NA,NA,NA,Undecided,NA,NA,NA,NA,NA,NA,NA
77,Neurology,LCDR,2015,CONUS MTF,2-4 months,5,5,5,1st choice,National Capital Region,Academic Medicine,No,2 tours (~6 years),No,NA,Feb-17,Yes,Yes
78,Family Medicine,LCDR,2016,CONUS MTF,NA,3,2,3,1st choice,National Capital Region,Operational Medicine,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
255,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,2-4 months,2,4,4,1st choice,"Southeast (North Carolina, Florida)",Operational Medicine,Do not care,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
80,Internal Medicine (General),LT,2016,CONUS MTF,2-4 months,2,2,3,3rd choice,Southern California,Mixed,No,2 tours (~6 years),Yes,Other,Feb-17,No,No
81,Family Medicine,LCDR,2016,CONUS MTF,2-4 months,2,2,2,2nd choice,Southern California,Resign/Retire,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
82,Psychiatry,LCDR,2016,CONUS MTF,NA,2,5,5,Other,Southern California,Mixed,Yes,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No
83,Pathology,LCDR,2015,CONUS MTF,2-4 months,4,5,4,1st choice,"Pacific (Hawaii, Guam, Japan)",Mixed,Do not care,4 tours (~12 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
662,Aviation Medicine (Flight Surgery GMO),LT,2015,CONUS Operational,NA,2,2,3,> 4th choice,National Capital Region,Academic Medicine,Do not care,4 tours (~12 years),No,Something similar to the National Residency Match Program,Nov-16,Yes,Yes
85,OB/GYN,CAPT or Flag,2016,OCONUS MTF,2-4 months,5,5,1,1st choice,"Pacific (Hawaii, Guam, Japan)",Clinical Medicine,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Nov-16,Yes,No
86,Emergency Medicine,LCDR,2013,CONUS MTF,NA,4,4,4,1st choice,"Pacific (Hawaii, Guam, Japan)",Mixed,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
87,Aerospace Medicine (Residency Trained Flight),LT,2015,GME,> 4 months,3,2,1,1st choice,Southern California,Operational Medicine,No,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Nov-16,No,No
88,Family Medicine,LCDR,2016,CONUS MTF,NA,5,5,1,Other,"Pacific (Hawaii, Guam, Japan)",Mixed,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
89,Neurology,CDR,2013,CONUS MTF,2-4 months,3,3,NA,1st choice,Pacific Northwest,Executive Medicine,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Feb-17,Yes,No
90,Otolaryngology,LCDR,2014,CONUS MTF,2-4 months,4,4,2,2nd choice,"Southeast (North Carolina, Florida)",Resign/Retire,Do not care,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jun-16,Yes,Yes
91,Preventive Medicine,CDR,2016,OCONUS Operational,NA,5,5,5,1st choice,"Pacific (Hawaii, Guam, Japan)",Operational Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,No
92,Aerospace Medicine (Residency Trained Flight),LCDR,2016,GME,NA,5,2,1,1st choice,NA,Operational Medicine,No,1 tour (~3 years),Yes,NA,NA,NA,NA
93,Internal Medicine (General),CAPT or Flag,2014,Non-Operational/Non-Clinical,2-4 months,5,5,5,1st choice,Northeast,Executive Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
1033,General Surgery,LT,NA,GME,NA,NA,NA,NA,Other,Northeast,Clinical Medicine,Other,Other,Other,Other,Dec-16,NA,NA
95,Family Medicine,LCDR,2016,CONUS MTF,2-4 months,4,4,3,1st choice,Southern California,Mixed,No,Other,Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
96,Emergency Medicine,LCDR,2015,CONUS MTF,2-4 months,3,4,NA,1st choice,"Pacific (Hawaii, Guam, Japan)",Clinical Medicine,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No
666,Aviation Medicine (Flight Surgery GMO),LCDR,2016,CONUS Operational,NA,1,1,1,Other,"Tidewater Region (Portsmouth, Norfolk)",Executive Medicine,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,Yes
98,Pediatrics,CDR,2014,OCONUS MTF,2-4 months,3,3,2,> 4th choice,Europe,Clinical Medicine,No,Other,Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
99,General Surgery,LCDR,2014,OCONUS Operational,2-4 months,2,1,5,Other,"Pacific (Hawaii, Guam, Japan)",Clinical Medicine,Do not care,2 tours (~6 years),Yes,Other,Sep-16,Yes,No
1294,Family Medicine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
695,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,NA,3,5,4,1st choice,"Southeast (North Carolina, Florida)",Operational Medicine,Do not care,Other,No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
102,Occupational Medicine,CDR,2014,CONUS MTF,2-4 months,2,2,1,> 4th choice,"Pacific (Hawaii, Guam, Japan)",Executive Medicine,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
701,Aviation Medicine (Flight Surgery GMO),LT,2015,CONUS Operational,NA,1,2,NA,Other,Europe,Clinical Medicine,No,3 tours (~9 years),No,Something similar to the National Residency Match Program,Dec-16,No,Yes
104,Neonatology,LCDR,2016,CONUS MTF,NA,1,1,1,Other,National Capital Region,Mixed,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
105,Pediatrics,CAPT or Flag,2008,GME,> 4 months,5,5,5,1st choice,National Capital Region,Executive Medicine,NA,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes
106,Cardiology (IM),CDR,2016,CONUS Operational,NA,1,3,2,> 4th choice,Southern California,Executive Medicine,Yes,2 tours (~6 years),Yes,NA,NA,NA,NA
719,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,Plastic Surgery,CDR,2016,CONUS MTF,2-4 months,5,5,2,1st choice,Southern California,Academic Medicine,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
109,Psychiatry,LCDR,2013,CONUS Operational,2-4 months,5,4,4,3rd choice,Europe,Mixed,Do not care,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
110,Anesthesiology,LCDR,2016,CONUS MTF,NA,3,4,NA,2nd choice,Europe,Mixed,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Mar-17,Yes,No
996,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,NA,5,5,5,1st choice,Pacific Northwest,Clinical Medicine,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Other,Yes,Yes
112,Family Medicine,CDR,2016,OCONUS MTF,2-4 months,4,2,3,1st choice,Europe,Resign/Retire,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
1040,Aviation Medicine (Flight Surgery GMO),LT,2016,OCONUS Operational,NA,1,1,NA,1st choice,Southern California,Operational Medicine,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,Yes,Yes
1065,Aviation Medicine (Flight Surgery GMO),LT,2015,CONUS Operational,NA,2,3,3,1st choice,Pacific Northwest,Academic Medicine,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Mar-17,Yes,Yes
115,Urology,CDR,2014,CONUS MTF,2-4 months,5,3,5,1st choice,Pacific Northwest,Resign/Retire,Yes,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,No,Yes
116,Radiology,LCDR,2013,CONUS MTF,NA,1,1,1,Other,Southern California,Resign/Retire,Do not care,2 tours (~6 years),Other,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
117,Allergy/Immunology,CDR,2015,CONUS MTF,> 4 months,1,1,1,Other,Southern California,Resign/Retire,No,2 tours (~6 years),Yes,Other,Dec-16,No,Yes
1075,Aviation Medicine (Flight Surgery GMO),LT,2015,CONUS Operational,2-4 months,5,5,4,1st choice,Pacific Northwest,Academic Medicine,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
119,Allergy/Immunology,LCDR,2016,CONUS MTF,2-4 months,4,4,3,1st choice,Southern California,Clinical Medicine,Yes,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Oct-16,Yes,Yes
120,Psychiatry,CAPT or Flag,2015,Non-Operational/Non-Clinical,2-4 months,4,4,2,2nd choice,Europe,Resign/Retire,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Mar-17,Yes,Yes
122,Emergency Medicine,LCDR,2015,GME,> 4 months,4,4,2,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Other,Yes,3 tours (~9 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
154,Emergency Medicine,LT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,Emergency Medicine,LCDR,2015,OCONUS Operational,> 4 months,5,5,5,3rd choice,"Pacific (Hawaii, Guam, Japan)",Other,NA,1 tour (~3 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
125,Emergency Medicine,LT,2016,GME,NA,5,5,3,1st choice,Southern California,Mixed,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Mar-17,Yes,No
126,Emergency Medicine,LCDR,2015,CONUS MTF,2-4 months,1,2,4,1st choice,Europe,Academic Medicine,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Jan-17,No,No
17,Rheumatology (IM),CAPT or Flag,2015,CONUS MTF,> 4 months,5,5,4,1st choice,National Capital Region,Resign/Retire,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,NA,Yes
1093,Aviation Medicine (Flight Surgery GMO),LT,2015,CONUS Operational,NA,2,2,2,3rd choice,National Capital Region,Academic Medicine,Yes,4 tours (~12 years),No,Something similar to the National Residency Match Program,Nov-16,Yes,Yes
129,Rheumatology (IM),LT,2015,GME,2-4 months,3,3,NA,1st choice,NA,Mixed,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
130,Emergency Medicine,LT,2015,CONUS MTF,2-4 months,4,5,NA,1st choice,Pacific Northwest,Clinical Medicine,No,Other,No,Status Quo: Detailer and Specialty Leader decide,17-Feb,No,No
131,Emergency Medicine,CDR,2014,OCONUS MTF,> 4 months,5,5,5,1st choice,"Pacific (Hawaii, Guam, Japan)",Clinical Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Nov-16,Yes,Yes
132,Emergency Medicine,LT,2013,CONUS MTF,> 4 months,4,4,3,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Operational Medicine,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
133,Allergy/Immunology,LCDR,2014,CONUS MTF,2-4 months,2,2,NA,Other,"Southeast (North Carolina, Florida)",Executive Medicine,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
691,Otolaryngology,LT,2015,NA,2-4 months,4,5,5,1st choice,Europe,Clinical Medicine,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,Yes
136,Emergency Medicine,LCDR,2014,GME,2-4 months,5,NA,3,1st choice,"Southeast (North Carolina, Florida)",Undecided,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
137,Pediatrics,CDR,2013,CONUS MTF,> 4 months,3,5,4,1st choice,Southern California,Academic Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
1094,Aviation Medicine (Flight Surgery GMO),LT,2013,CONUS Operational,2-4 months,4,4,NA,1st choice,"Southeast (North Carolina, Florida)",Resign/Retire,Yes,4 tours (~12 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
934,Orthopedic Surgery,LT,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,Emergency Medicine,CAPT or Flag,2015,CONUS MTF,> 4 months,4,5,5,1st choice,"Southeast (North Carolina, Florida)",Clinical Medicine,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,Yes
141,Emergency Medicine,CDR,2016,Non-Operational/Non-Clinical,NA,4,4,3,1st choice,Europe,Operational Medicine,Yes,4 tours (~12 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
142,Emergency Medicine,CDR,2015,CONUS MTF,> 4 months,5,5,1,1st choice,Southern California,Academic Medicine,Do not care,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
143,Preventive Medicine,CAPT or Flag,2015,GME,2-4 months,5,5,1,1st choice,National Capital Region,Academic Medicine,No,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
144,Endocrinology (IM),CAPT or Flag,2014,CONUS MTF,NA,5,5,5,1st choice,Southern California,Resign/Retire,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Nov-16,Yes,NA
145,Physical Medicine and Rehabilitation,LCDR,2014,CONUS MTF,2-4 months,5,5,5,1st choice,National Capital Region,Mixed,Yes,2 tours (~6 years),Other,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
1105,Aviation Medicine (Flight Surgery GMO),LCDR,2016,OCONUS Operational,2-4 months,5,5,3,1st choice,Southern California,Operational Medicine,No,1 tour (~3 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,NA
1191,Aviation Medicine (Flight Surgery GMO),LCDR,2016,CONUS MTF,2-4 months,1,1,2,Other,"Southeast (North Carolina, Florida)",Operational Medicine,Other,Other,Other,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,Yes
1194,Aviation Medicine (Flight Surgery GMO),LT,2014,CONUS Operational,2-4 months,1,2,2,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Clinical Medicine,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Dec-16,No,Yes
149,Emergency Medicine,LT,2016,GME,NA,1,1,NA,2nd choice,NA,Executive Medicine,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Mar-17,No,No
